Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
,,"180 deg opening positionSecond external display, 4096 colors (96 x 64 pixels)Screensavers and wallpapersDownloadable logos",,,Up to 400 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,4 + Java downloadable,,,Predictive text inputOrganizerVoice dial/commandOptional TV-out,,,No,,Mini-SIM,,VGA,91 g (3.21 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 1.2.1,"128 x 160 pixels,  7 lines",Up to 4 h,No,,,,,,"2004, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph855.gif,,Philips 855,,"SMS, EMS, MMS, Email","4 - Harmony Silver, Relaxing Blue, Sensorial Black and Natural White","TFT, 65K colors","500 x 5 fields, Photo call",Class 10,"85 x 47 x 25 mm, 77 cc (3.35 x 1.85 x 0.98 in)",9MB,,No,No,No,,,,No,Removable Li-Ion 600 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,No,Bricks,,,Predictive text inputVoice memo/commandOrganizer,,,No,,Mini-SIM,,VGA,89 g (3.14 oz),,"30 dialed, received and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"128 x 160 pixels, 6 lines",Up to 5 h,No,,,,,,"2004, Q1",,GSM,Image/sound album,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph759.gif,,Philips 759,,"SMS, EMS, MMS, EMail","Aero Silver, Orange Spray and Red Touch","TFT resistive touchscreen, 65K colors","500 x 5 fields, Photo call",Yes,98 x 44 x 18 mm (3.86 x 1.73 x 0.71 in),7MB,,No,No,No,,,,No,Removable Li-Ion battery,,,"Yes, MIDP 1.0"
,,"Screensavers, wallpapers",,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,No,4 embedded,,,Image/sound album,,Predictive text inputVoice dial/commandOrganizerOptional TV-out,No,,Mini-SIM,,VGA,89 g (3.14 oz),,"30 dialed, received and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 1.2.1,"128 x 160 pixels, 9 lines",Up to 5 h,No,,,,,,"2004, Q1",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph755.gif,,Philips 755,,"SMS, EMS, MMS, Email","Silver Alloy, Bright Aluminum and Red Metal","TFT resistive touchscreen, 65K colors","500 x 5 fields, Photo call",Class 10,"106 x 46 x 18 mm, 75 cc (4.17 x 1.81 x 0.71 in)",7MB,,No,No,No,,,,No,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
,,"Second external 3 colors OLED display, 96 x 64 pixelsScreensavers and wallpapersDownloadable logos",,,Up to 300 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,No,3,,,Predictive text inputOrganizerStopwatchBio-rhythmVoice command/dialPhoto editor,,,No,,Mini-SIM,,VGA,82 g (2.89 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"128 x 160 pixels, 6 lines",Up to 3 h,No,"English, French, German, Italian, Russian, Chinese",,,,,"2004, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph659.gif,,Philips 659,,"SMS, EMS, MMS, Email","Blue Zone, Silver Wing","TFT, 65K colors",Photo call,Class 10,"79 x 43 x 21 mm, 70 cc (3.11 x 1.69 x 0.83 in)",1.5MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 600 mAh battery,,,No
,,No,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,No,4 - embedded,,,,,,No,,Mini-SIM,,,89 g (3.14 oz),,"30 dialed, received and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 1.2.1,"128 x 160 pixels, 9 lines",Up to 5 h,No,,,,,,"2004, Q1",,GSM,Predictive text inputVoice memo/commandOrganizerOptional digital cameraOptional TV-out,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph550.gif,,Philips 550,,"SMS, EMS, MMS, Email",Brown Suede and Silver Silk,"TFT resistive touchscreen, 65K colors","500 x 5 fields, Photo call",Class 10,"106 x 46 x 18 mm, 75 cc (4.17 x 1.81 x 0.71 in)",7MB,,No,No,No,,,,,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
,,"Second external PolyLED(OLED) display, 80 x 48 pixelsScreensavers and wallpapersDownloadable logos",,,Up to 400 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,No,Yes - Bricks,,,Predictive text inputOrganizerVoice command/dialOptional rotaiting digital VGA camera,,,No,,Mini-SIM,,,82 g (2.89 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,WAP 1.2.1,"128 x 128 pixels, 8 lines, 1:1 ratio",Up to 4 h,No,"English, French, German, Italian, Russian, Chinese",,,,,"2004, Q1",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph639.gif,,Philips 639,,"SMS, MMS, Email, Instant Messaging","3 - Magical Pearl, Surprising Green and Fantastic Grey","TFT, 65K colors",299 x 5 fields,Class 10,"79 x 43 x 21 mm, 71 cc (3.11 x 1.69 x 0.83 in)",1.5MB,,No,No,No,,,,,Removable Li-Ion 600 mAh battery,,,No
,,Second external mono LCD display 80 x 48 pixelsScreensavers and wallpapersDownloadable logos,,,Up to 400 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,No,Yes - Bricks + downloadable (In-Fusio),,,Predictive text inputOrganizerOptional rotaiting digital VGA camera,,,No,,Mini-SIM,,,82 g (2.89 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"128 x 128 pixels, 8 lines, 1:1 ratio",Up to 4 h,No,"English, French, German, Italian, Russian, Chinese",,,,,"2004, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph636.gif,,Philips 636,,"SMS, MMS, Email","Blue Pacific, Red Temptation, Silver Knight","CSTN, 65K colors",300 x 8 fields,Class 10,"79 x 43 x 21 mm, 70 cc (3.11 x 1.69 x 0.83 in)",1.5MB,,No,No,No,,,,,Removable Li-Ion 600 mAh battery,,,No
,,No,,,Up to 300 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,No,1 - Brick game,,,,,,No,,Mini-SIM,,VGA,92 g (3.25 oz),,"30 dialed, received and missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,WAP 1.2.1,"128 x 128 pixels, 6 lines, 1:1 ratio",Up to 3 h,No,,,,,,"2003, Q4",,GSM,Predictive text inputVoice dialVoice memoOrganizerExchangeable covers,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph535.gif,,Philips 535,,"SMS, MMS","4 - Silver Digit, Red Lens, Blue Focus, and Black Motion","TFT, 65K colors","300 x 5 fields, Photo call",Class 10,98 x 44 x 18 mm (3.86 x 1.73 x 0.71 in),1.9MB,,No,No,No,,,,No,Removable Li-Ion battery,,,No
,,Screensavers and wallpapers5-way joystickDownloadable pictures,,,Up to 400 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,No,Yes,,,No,,Predictive text inputOrganizer,No,,Mini-SIM,,CIF,82 g (2.89 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"128 x 128 pixels, 8 lines, 1:1 ratio",Up to 5 h,No,,,,,,"2004, Q1",,GSM,1.5 MB available,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph355.gif,,Philips 355,,"SMS, EMS, MMS","Turquoise Ocean, White Antarctic, Black Forrest, Blue Gloss","CSTN, 65K colors","300 x 8 fields, Photo call",Class 10,"106 x 46 x 17 mm, 72 cc (4.17 x 1.81 x 0.67 in)",8MB,,No,No,No,,,,No,Removable Li-Ion battery,,,Yes
,,Screensavers and wallpapers5-way joystick,,,Up to 400 h,Vibration; Downloadable polyphonic ringtones,,No,No,Yes - Brick,,,No,,Predictive text inputOrganizerVoice commandVoice memoOptional digital camera,No,,Mini-SIM,,,75 g (2.65 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,"112 x 112 pixels, 7 lines, 1:1 ratio",Up to 4 h,No,,,,,,"2003, Q3",,GSM,40 voice commands10 message templates,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph350.gif,,Philips 350,,"SMS, EMS, MMS, Email","4 - Red,  Silver, Black and Blue","STN, 4096 colors","300 x 8 fields, 20 contact groups, Photo call",Class 10,106 x 46 x 17 mm (4.17 x 1.81 x 0.67 in),2MB,,No,No,No,,,,,Removable Li-Ion 720 mAh battery,,,Yes
,,No,,,Up to 300 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,No,1 - Brick game,,,,,,No,,Mini-SIM,,,85 g (3.00 oz),,"30 dialed, received and missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,WAP 1.2.1,"128 x 128 pixels, 6 lines, 1:1 ratio",Up to 6 h,No,,Yes,,,,"2003, Q3",,GSM,Predictive text inputVoice dialVoice memoOrganizerExchangeable covers,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph530.gif,,Philips 530,,"SMS, EMS, MMS, Email","5 - Pop Orange, Star White, Techno Green, Jazzy Blue and Soul Black","TFT, 65K colors","300 x 5 fields, Photo call",Class 10,98 x 44 x 18 mm (3.86 x 1.73 x 0.71 in),1MB,,No,No,Stereo FM radio,,,,,Removable Li-Ion 720 mAh battery,,,No
,,White backlight,,,Up to 810 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes,,,No,,Predictive text inputVoice dialVoice memoOrganizer,No,,Mini-SIM,,,93 g (3.28 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"101 x 80 pixels, 8 lines",Up to 7 h 30 min,No,"English, Bahasa, Chinese, Thai",Yes,,,,"2003, Q2",,GSM,100 short messages,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phxe9a9p.gif,,Philips Xenium 9@9 ++,,"SMS, EMS 4.0, Email",Graphite and Silver,Monochrome graphic,"500 x 5 fields, Photo call",Class 10,"108 x 44 x 20 mm, 82 cc (4.25 x 1.73 x 0.79 in)",,Proprietary,No,No,No,,,,,Removable Li-Ion 850 mAh battery,,,No
,,"Second mono display 80 x 48 pixels, 3 lines, 7 backlight colorsBlue keyboard backlightAnalog clockLED in 256 colorsWallpapers",,,Up to 200 h,Vibration; Polyphonic ringtones,,Yes,No,"3 - Smart Move, Reflexes, Lucky Star",,Up to 400 h,No,,Predictive text inputOrganizerVoice command,No,,Mini-SIM,,,78 g (2.75 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,Up to 5 h,GSM 900 / 1800,,WAP 1.2.1,"128 x 128 pixels, 8 lines, 1:1 ratio",Up to 2 h 45 min,No,"English, French, German, Italian, Russian, Chinese",Yes,,,,"2003, Q2",,GSM,"100 messages, can be password protected10 message templates30 calendar entries",,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph630.gif,,Philips 630,,"SMS, EMS","3 - Red, Silver, Pasific blue","STN, 4096 colors","300 x 3 fields, 5 co",Class 10,"83 x 43 x 22 mm, 73 cc (3.27 x 1.69 x 0.87 in)",,,No,No,FM radio,,,,,Removable Li-Ion 560 mAh battery,,,No
,,Blue backlightLight Call function,,,Up to 400 h,Vibration; Downloadable polyphonic ringtones,,No,No,1 - Arcanoid,,,No,,Predictive text inputOrganizer,No,,Mini-SIM,,,79 g (2.79 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"101 x 80 pixels, 8 lines",Up to 4 h 30 min,No,,Yes,,,,"2003, Q2",,GSM,10 Message templates,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph330.gif,,Philips 330,,"SMS, EMS, Email","4 - Sparkling Blue, Lacquer White, Brilliant Silver and Shining Red",Monochrome graphic,300 x 8 fields,No,"83 x 43 x 22 mm, 64 cc (3.27 x 1.69 x 0.87 in)",256 KB,,No,No,No,,,,,Removable Li-Ion 570 mAh battery,,,No
,,500 KB for contacts7 fields per contact,,,400 h,Vibration; Downloadable monophonic ringtones,,No,Yes,No,,,Predictive text inputVoice dialVoice memoOrganizerSnap-in front cover,,,No,,Mini-SIM,,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"112 x 112 pixels, 9 lines, 1:1 ratio",5 h,No,,Yes,,,,2002,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph825.gif,,Philips Fisio 825,,"SMS, Email","4 - Ceramic white, Diamond black, Steel blue and Sterling silver","STN, 4096 colors","500 entries, Photo call",Class 10,98 x 47 x 21 mm (3.86 x 1.85 x 0.83 in),,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,Zoom function,,,330 h,Vibration; Downloadable monophonic ringtones,,No,No,Yes,,,No,,Predictive text inputVoice dialVoice memoOrganizerSnap-in front cover,No,,Mini-SIM,,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"101 x 80 pixels, 8 lines",5 h,No,,Yes,,,,2002,,GSM,7 fields per contact,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph625.gif,,Philips Fisio 625,,"SMS, Email",,Graphics,"300 entries, Photo call",Class 10,"104 x 46 x 20 mm, 73 cc (4.09 x 1.81 x 0.79 in)",,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,500 KB for contacts7 fields per contact,,,400 h,Vibration; Downloadable monophonic ringtones,,No,Yes,No,,,Predictive text inputVoice dialVoice memoOrganizerSnap-in front cover,,,No,,Mini-SIM,,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"120 x 130 pixels, 9 lines",5 h,No,,Yes,,,,2002,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph820.gif,,Philips Fisio 820,,"SMS, Email",3,"STN, 256 colors","500 entries, Photo call",Class 10,98 x 47 x 21 mm (3.86 x 1.85 x 0.83 in),,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,Zoom function,,,330 h,Vibration; Downloadable monophonic ringtones,,No,No,No,,,No,,Predictive text inputVoice dialVoice memoOrganizerSnap-in front cover,No,,Mini-SIM,,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"101 x 80 pixels, 8 lines",5 h,No,,Yes,,,,2002,,GSM,7 fields per contact,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph620.gif,,Philips Fisio 620,,"SMS, Email",,Monochrome graphic,300,Class 10,"104 x 46 x 20 mm, 73 cc (4.09 x 1.81 x 0.79 in)",,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,Contrast adjustment,,,350 h,Vibration; Monophonic ringtones,,No,No,No,,,Predictive text inputCalculatorEuro converterSnap-in front cover,,,No,,Mini-SIM,,,95 g (3.35 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.1,4 lines,4 h,No,,Yes,,,,2002,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph121.gif,,Philips Fisio 121,,SMS,"3 - Storm Black, Whale blue, Opal white",Monochrome graphic,SIM only,No,"106 x 49 x 22 mm, 79 cc (4.17 x 1.93 x 0.87 in)",,,No,No,No,,,,,Removable NiMh 750 mAh battery,,,No
,,Contrast adjustmentSnap-in front cover,,,350 h,Vibration; Downloadable monophonic ringtones,,No,No,No,,,Predictive text inputCalculatorEuro converter,,,No,,Mini-SIM,,,95 g (3.35 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,,4 lines,4 h,No,,Yes,,,,2002,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph120.gif,,Philips Fisio 120,,SMS,"3 - Storm Black, Whale blue, Opal white",Monochrome graphic,SIM only,No,"106 x 49 x 22 mm, 79 cc (4.17 x 1.93 x 0.87 in)",,,No,No,No,,,,,Removable NiMh 750 mAh battery,,,No
,,Soft keysZoom functionOrange backlight,,,100 h,"Vibration; Monophonic ringtones, composer",,No,No,,,,Predictive text inputVoice dialVoice commandPicture messagingOrganizer,,,No,,Mini-SIM,,,90 g (3.17 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,5 lines,4 h,No,,Yes,,,,2001,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phfi610.gif,,Philips Fisio 610,,SMS,,Monochrome graphic,,Class 4,110 x 45 x 18 mm (4.33 x 1.77 x 0.71 in),,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,Soft keys,,,up to 600 h,"Vibration; Monophonic ringtones, composer",,No,No,Bricks,,,Predictive text inputVoice dialVoice commandPicture messagingOrganizer,,,No,,Mini-SIM,,,95 g (3.35 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,5 lines,3 - 7 h,No,,Yes,,,,2000,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phxe9a9.gif,,Philips Xenium 9@9,,SMS,4,Monochrome graphic,,No,"109 x 41 x 22 mm, 85 cc (4.29 x 1.61 x 0.87 in)",,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,Soft keys,,,up to 500 h,"Vibration; Monophonic ringtones, composer",,No,No,,,,Predictive text inputVoice dialVoice commandPicture messagingOrganizer,,,No,,Mini-SIM,,,95 g (3.35 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,,5 lines,3 - 6 h,No,,Yes,,,,2000,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phxenib.gif,,Philips Xenium,,SMS,"3 models, 3 colors each",Monochrome graphic,,No,"109 x 41 x 22 mm, 85 cc (4.29 x 1.61 x 0.87 in)",,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,Soft keysZoom functionOrange backlight,,,up to 300 h,"Vibration; Downloadable monophonic ringtones, composer",,No,No,Bricks,,,Predictive text inputVoice dialVoice commandPicture messagingOrganizer,,,No,,Mini-SIM,,,99 g (3.49 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,5 lines,up to 4 h,No,,Yes,,,,2000,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phaz268.gif,,Philips Azalis 268,,SMS,,Monochrome graphic,,No,119 x 44 x 22 mm (4.69 x 1.73 x 0.87 in),,,No,No,No,,,,,Removable Li-Ion 550 mAh battery,,,No
,,Soft keysZoom functionOrange backlight,,,up to 500 h,"Vibration; Downloadable monophonic ringtones, composer",,No,No,Yes,,,Predictive text inputVoice dialVoice commandPicture messagingOrganizer,,,No,,Mini-SIM,,,125 g (4.41 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,5 lines,6 h,No,,Yes,,,,2000,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phazalis.gif,,Philips Azalis 238,,SMS,,Monochrome graphic,,No,"114 x 51 x 24 mm, 119 cc (4.49 x 2.01 x 0.94 in)",,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,Soft keysZoom function,,,120 - 300 h,"Vibration; Monophonic ringtones, composer",,No,No,Bricks,,,Predictive text inputVoice dialVoice commandPicture messagingOrganizer,,,No,,Mini-SIM,,,128 g (4.52 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,5 lines,3 - 5 h,No,,Yes,,,,2000,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phoz8a8.gif,,Philips Ozeo 8@8,,SMS,4,Monochrome graphic,,No,"114 x 51 x 24 mm, 119 cc (4.49 x 2.01 x 0.94 in)",,,No,No,No,,,,,Removable NiMH 670 mAh battery,,,No
,,Soft keys,,,120 - 300 h,"Vibration; Monophonic ringtones, composer",,No,No,Bricks,,,Predictive text inputVoice dialVoice commandPicture messagingOrganizer,,,No,,Mini-SIM,,,128 g (4.52 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,,5 lines,3 - 5 h,No,,Yes,,,,2000,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phozeob.gif,,Philips Ozeo,,SMS,4,Monochrome graphic,,No,"114 x 51 x 24 mm, 119 cc (4.49 x 2.01 x 0.94 in)",,,No,No,No,,,,,Removable Li-Ion battery,,,No
,,No,,,120 - 200 h,Vibration; Monophonic ringtones,,No,No,3,,,,,,No,,Mini-SIM,,,140 g (4.94 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,,2 lines,2 - 4 h,No,,Yes,,,,1999,,GSM,Voice dialPicture messaging,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phsavdbb.gif,,Philips Savvy DB,,SMS,"3 - Galaxy Black, Azur Nuit, Lune Galet",Monochrome graphic,,No,"129 x 48 x 24 mm, 140 cc (5.08 x 1.89 x 0.94 in)",,,No,No,No,,,,,Removable NiMH battery,,,No
,,No,,,120 - 200 h,Vibration; Monophonic ringtones,,No,No,3,,,,,,No,,Mini-SIM,,,140 g (4.94 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900,,,2 lines,2 - 4 h,No,,Yes,,,,2000,,GSM,Voice dialPicture messaging,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phsavvob.gif,,Philips Savvy Vogue,,SMS,"4 - Light Blue, Aqua Green, Navy Blue, Coral Bronze",Monochrome graphic,,No,"129 x 48 x 24 mm, 140 cc (5.08 x 1.89 x 0.94 in)",,,No,No,No,,,,,Removable NiMH battery,,,No
,,No,,,110 - 130 h,Vibration; Monophonic ringtones,,No,No,1,,220 - 260 h,,,,No,,Mini-SIM,,,99 g (3.49 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,3 - 4 h,GSM 900 / 1800,,,"100 x 64 pixels, 6 lines",90 - 120 min,No,,Yes,,,,2000,,GSM,Voice dialVoice commandOrganizer,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phge2000.gif,,Philips Genie 2000,,SMS,3,Monochrome graphic,,No,"110 x 54 x 20 mm, 99 cc (4.33 x 2.13 x 0.79 in)",,,No,No,No,,,,,Removable Li-Ion 550 mAh battery,,,No
,,No,,,80 h,Monophonic ringtones,,No,No,No,,525 h,,,,No,,Mini-SIM,,,95 g (3.35 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,8 h,GSM 900 / 1800,,,"100 x 64 pixels, 6 lines",2 h,No,,Yes,,,,1999,,GSM,Voice dialToDo list,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phgendbb.gif,,Philips Genie db,,SMS,3,Monochrome graphic,,No,"110 x 54 x 20 mm, 99 cc (4.33 x 2.13 x 0.79 in)",,,No,No,No,,,,,Removable Li-Ion 550 mAh battery,,,No
,,No,,,80 h,Monophonic ringtones,,No,No,No,,525 h,,,,No,,Mini-SIM,,,99 g (3.49 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,8 h,GSM 900,,,"100 x 64 pixels, 6 lines",2 h,No,,Yes,,,,1999,,GSM,Voice dialToDo list,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phgensb.gif,,Philips Genie Sport,,SMS,3,Monochrome graphic,,No,"110 x 54 x 20 mm, 99 cc (4.33 x 2.13 x 0.79 in)",,,No,No,No,,,,,Removable Li-Ion 550 mAh battery,,,No
,,No,,,80 h,Monophonic ringtones,,No,No,No,,525 h,,,,No,,Mini-SIM,,,99 g (3.49 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,8 h,GSM 900,,,"100 x 64 pixels, 6 lines",2 h,No,,Yes,,,,1999,,GSM,Voice dialToDo list,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phgenieb.gif,,Philips Genie,,SMS,Several,Monochrome graphic,,No,"110 x 54 x 20 mm, 99 cc (4.33 x 2.13 x 0.79 in)",,,No,No,No,,,,,Removable Li-Ion 550 mAh battery,,,No
,,Fixed icons,,,130 - 250 h,Monophonic ringtones,,No,No,No,,,CalculatorPicture messagingAnalog clockTimer,,,No,,Mini-SIM,,,135 g (4.76 oz),,,Discontinued,No,,,GSM 900,,,2 x 15 chars,2 - 4 h,No,,Yes,,,,1999,,GSM,No,,Yes,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phsavvyb.gif,,Philips Savvy,,SMS,"Yellow, Golf Green, Black",Alphanumeric,SIM only,No,"132 x 50 x 26 mm, 137 cc (5.20 x 1.97 x 1.02 in)",,,No,No,No,,,,,Removable NiMH 700 mAh battery,,,No
,,Fixed icons,,,85 h,Monophonic ringtones,,No,No,No,,,,,,No,,Full-size SIM,,,179 g (6.31 oz),,"5 dialed, 0 received, 5 missed calls",Discontinued,No,,,GSM 900,,,1 x 12 chars,130 min,No,,No,,,,1997,,GSM,No,,No,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phdigab.gif,,Philips Diga,,SMS,,Alphanumeric,SIM only,No,147 x 56 x 19 mm (5.79 x 2.20 x 0.75 in),,,No,No,No,,,,,Removable NiMH 600 mAh battery,,,No
,,Soft keysFixed icons,,,350 h,Monophonic ringtones,,No,No,No,,,,,,No,,Mini-SIM,,,129 g (4.55 oz),,,Discontinued,No,,,GSM 900,,,5 lines,6 h,No,,No,,,,1997,,GSM,No,,No,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phsparkb.gif,,Philips Spark,,SMS,,Monochrome graphic,SIM only,No,139 x 56 x 23 mm (5.47 x 2.20 x 0.91 in),,,No,No,No,,,,,Removable Li-Ion 4000 mAh battery,,,No
,,Soft keysFixed icons,,,45 h,Monophonic ringtones,,No,No,No,,,,,,No,,Mini-SIM,,,169 g (5.96 oz),,,Discontinued,No,,,GSM 900,,,3 x 12 chars,60 min,No,,No,,,,1996,,GSM,No,,No,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phfizzb.gif,,Philips Fizz,,SMS,,Alphanumeric,SIM only,No,162 x 60 x 17 mm (6.38 x 2.36 x 0.67 in),,,No,No,No,,,,,Removable Ni-Cd battery,,,No
